Rank,PLAYER,ELIG. POS.
1.0,Christian Yelich,OF
2.0,Mookie Betts,OF
3.0,Mike Trout,OF
4.0,Ronald Acuña,OF
5.0,Juan Soto,OF
6.0,Anthony Rendon,3B
7.0,Cody Bellinger,1B/OF
8.0,Freddie Freeman,1B
9.0,Alex Bregman,3B/SS
10.0,Nolan Arenado,3B
11.0,Justin Verlander,SP
12.0,J.D. Martinez,OF
13.0,Jacob deGrom,SP
14.0,Francisco Lindor,SS
15.0,Whit Merrifield,2B/OF
16.0,Charlie Blackmon,OF
17.0,Trevor Story,SS
18.0,Fernando Tatis,SS
19.0,Jose Altuve,2B
20.0,Max Scherzer,SP
21.0,Xander Bogaerts,SS
22.0,Jack Flaherty,SP
23.0,Walker Buehler,SP
24.0,Ketel Marte,2B/SS/OF
25.0,Rafael Devers,3B
26.0,Trea Turner,SS
27.0,Roberto Osuna,RP
28.0,Bryan Reynolds,OF
29.0,Yordan Alvarez,OF
30.0,José Ramírez,3B
31.0,Ozzie Albies,2B
32.0,Bo Bichette,SS
33.0,Josh Hader,RP
34.0,Bryce Harper,OF
35.0,Austin Meadows,OF
36.0,Kirby Yates,RP
37.0,Chris Sale,SP
38.0,Kris Bryant,3B/OF
39.0,Gerrit Cole,SP
40.0,Keston Hiura,2B
41.0,Tommy Pham,OF
42.0,Aroldis Chapman,RP
43.0,Taylor Rogers,RP
44.0,Seth Lugo,RP
45.0,DJ LeMahieu,1B/2B/3B
46.0,Mike Clevinger,SP
47.0,Yoán Moncada,3B
48.0,Tyler Glasnow,SP
49.0,Shane Bieber,SP
50.0,Keone Kela,RP
51.0,Aaron Judge,OF
52.0,Stephen Strasburg,SP
53.0,Brandon Workman,RP
54.0,Nick Anderson,RP
55.0,Carlos Santana,1B
56.0,Héctor Neris,RP
57.0,George Springer,OF
58.0,Paul Goldschmidt,1B
59.0,Nick Castellanos,OF
60.0,Jorge Polanco,SS
61.0,Pete Alonso,1B
62.0,Sean Doolittle,RP
63.0,Javier Báez,SS
64.0,Brad Hand,RP
65.0,Josh Bell,1B
66.0,Drew Pomeranz,SP/RP
67.0,Michael Conforto,OF
68.0,Vladimir Guerrero,3B
69.0,Edwin Díaz,RP
70.0,Marcus Semien,SS
71.0,Zack Greinke,SP
72.0,Anthony Rizzo,1B
73.0,Starling Marte,OF
74.0,Will Harris,RP
75.0,Will Smith,RP
76.0,Eloy Jiménez,OF
77.0,Kenley Jansen,RP
78.0,Jeff McNeil,2B/3B/OF
79.0,Tyler Duffey,RP
80.0,Giovanny Gallegos,RP
81.0,Eduardo Escobar,2B/3B
82.0,Ken Giles,RP
83.0,Adam Ottavino,RP
84.0,Emilio Pagán,RP
85.0,Hunter Dozier,1B/3B/OF
86.0,Andrew Benintendi,OF
87.0,Manny Machado,3B/SS
88.0,Michael Brantley,OF
89.0,Liam Hendriks,RP
90.0,Zack Britton,RP
91.0,Hansel Robles,RP
92.0,Ian Kennedy,RP
93.0,Max Muncy,1B/2B/3B
94.0,Josh Donaldson,3B
95.0,Yusmeiro Petit,RP
96.0,Ryan Pressly,RP
97.0,Chris Paddack,SP
98.0,Rafael Montero,RP
99.0,Luis Castillo,SP
100.0,José Abreu,1B
101.0,Corey Kluber,SP
102.0,Scott Oberg,RP
103.0,Brandon Woodruff,SP
104.0,Clayton Kershaw,SP
105.0,Archie Bradley,RP
106.0,Pedro Báez,RP
107.0,Tommy Edman,2B/3B/OF
108.0,Nate Pearson,SP
109.0,Roenis Elías,RP
110.0,Shogo Akiyama,OF
111.0,Adam Kolarek,RP
112.0,Tony Watson,RP
113.0,Luis Severino,SP
114.0,John Brebbia,RP
115.0,Brandon Kintzler,RP
116.0,Craig Kimbrel,RP
117.0,Alex Colomé,RP
118.0,Nelson Cruz,Util
119.0,Blake Snell,SP
120.0,Trey Mancini,1B/OF
121.0,Nick Wittgren,RP
122.0,Tommy Kahnle,RP
123.0,Justin Wilson,RP
124.0,Matt Chapman,3B
125.0,Chris Martin,RP
126.0,Victor Robles,OF
127.0,Colin Poche,RP
128.0,Carlos Martínez,RP
129.0,Daniel Hudson,RP
130.0,Andres Muñoz,RP
131.0,Yu Darvish,SP
132.0,Diego Castillo,SP/RP
133.0,Raisel Iglesias,RP
134.0,Mike Soroka,SP
135.0,Steve Cishek,RP
136.0,Robert Stephenson,RP
137.0,Aaron Bummer,RP
138.0,Yoan López,RP
139.0,Noah Syndergaard,SP
140.0,José Berríos,SP
141.0,David Peralta,OF
142.0,Jorge Soler,OF
143.0,Gleyber Torres,2B/SS
144.0,José Leclerc,SP/RP
145.0,Yonny Chirinos,SP/RP
146.0,Lucas Giolito,SP
147.0,Craig Stammen,RP
148.0,Sergio Romo,RP
149.0,Giancarlo Stanton,OF
150.0,Matt Olson,1B
151.0,Keynan Middleton,RP
152.0,James Paxton,SP
153.0,Casey Mize,SP
154.0,Dustin May,SP/RP
155.0,Brendan McKay,SP
156.0,Tony Gonsolin,SP/RP
157.0,Elvis Andrus,SS
158.0,Kevin Newman,2B/SS
159.0,Corey Knebel,RP
160.0,Adam Morgan,RP
161.0,Eddie Rosario,OF
162.0,Mark Melancon,RP
163.0,Patrick Corbin,SP
164.0,Charlie Morton,SP
165.0,Joey Votto,1B
166.0,MacKenzie Gore,SP
167.0,Justin Turner,3B
168.0,Hyun-Jin Ryu,SP
169.0,Trevor May,RP
170.0,Shane Greene,RP
171.0,Rowan Wick,RP
172.0,Eugenio Suárez,3B
173.0,Randy Dobnak,SP
174.0,Emmanuel Clase,RP
175.0,Luis Patiño,SP
176.0,Sixto Sánchez,SP
177.0,José Álvarez,RP
178.0,Jean Segura,SS
179.0,Richard Rodríguez,RP
180.0,Chad Green,SP/RP
181.0,Tim Anderson,SS
182.0,Yuli Gurriel,1B/3B
183.0,Rhys Hoskins,1B
184.0,Pedro Strop,RP
185.0,J.T. Realmuto,C
186.0,Tyler Rogers,RP
187.0,Adam Cimber,RP
188.0,Carlos Correa,SS
189.0,Aaron Civale,SP
190.0,Brusdar Graterol,RP
191.0,Matt Manning,SP
192.0,Corey Seager,SS
193.0,Anthony Bass,RP
194.0,César Hernández,2B
195.0,Dellin Betances,RP
196.0,Josh James,RP
197.0,Seranthony Domínguez,RP
198.0,Andrew McCutchen,OF
199.0,Kyle Crick,RP
200.0,Andrew Chafin,RP
201.0,Michael Lorenzen,RP
202.0,Oliver Drake,RP
203.0,Brad Peacock,SP/RP
204.0,Sam Tuivailala,RP
205.0,Luis Arraez,2B/3B/OF
206.0,Ryan Yarbrough,SP/RP
207.0,Carlos Carrasco,SP/RP
208.0,Lorenzo Cain,OF
209.0,Oscar Mercado,OF
210.0,Joe Jiménez,RP
211.0,Kyle Hendricks,SP
212.0,Chris Bassitt,SP
213.0,Forrest Whitley,SP
214.0,Adam Eaton,OF
215.0,Jonathan Villar,2B/SS
216.0,Shin-soo Choo,OF
217.0,Carl Edwards,RP
218.0,Julio Urías,SP/RP
219.0,Marcus Walden,RP
220.0,Ty Buttrey,RP
221.0,Cam Bedrosian,SP/RP
222.0,Nick Senzel,OF
223.0,Yasiel Puig,OF
224.0,Matt Magill,RP
225.0,José Alvarado,RP
226.0,Shohei Ohtani,SP
227.0,Mychal Givens,RP
228.0,Michael Feliz,RP
229.0,Chaz Roe,RP
230.0,Matt Barnes,RP
231.0,Jesús Luzardo,RP
232.0,A.J. Puk,RP
233.0,John Gant,RP
234.0,Masahiro Tanaka,SP
235.0,Ryne Stanek,SP/RP
236.0,Gavin Lux,2B
237.0,Ramón Laureano,OF
238.0,Trevor Bauer,SP
239.0,Marcell Ozuna,OF
240.0,Daniel Ponce,SP/RP
241.0,Blake Treinen,RP
242.0,Frankie Montas,SP
243.0,Heath Hembree,RP
244.0,Miles Mikolas,SP
245.0,Madison Bumgarner,SP
246.0,Sean Manaea,SP
247.0,Buck Farmer,RP
248.0,Luke Jackson,RP
249.0,Jarlin García,RP
250.0,Joely Rodríguez,RP
251.0,Jon Duplantier,SP/RP
252.0,Domingo Germán,SP
253.0,Cavan Biggio,2B/OF
254.0,Aaron Nola,SP
255.0,Brandon Brennan,RP
256.0,Zac Gallen,SP
257.0,David Fletcher,2B/3B/SS/OF
258.0,Héctor Rondón,RP
259.0,Amir Garrett,RP
260.0,Kyle Ryan,RP
261.0,Jaime Barria,SP/RP
262.0,Amed Rosario,SS
263.0,Scott Barlow,RP
264.0,Willie Calhoun,OF
265.0,Mike Minor,SP
266.0,David Dahl,OF
267.0,Zack Wheeler,SP
268.0,Joakim Soria,RP
269.0,Luis Robert,OF
270.0,Nick Markakis,OF
271.0,David Price,SP
272.0,Ross Stripling,SP/RP
273.0,Mike Yastrzemski,OF
274.0,Kwang-Hyun Kim,RP
275.0,Sonny Gray,SP
276.0,Brent Suter,RP
277.0,Eric Hosmer,1B
278.0,Eduardo Rodriguez,SP
279.0,Joe Kelly,RP
280.0,Christian Walker,1B
281.0,Ryan McMahon,1B/2B/3B
282.0,Alex Wood,SP
283.0,Andrew Miller,RP
284.0,Griffin Canning,SP
285.0,Adalberto Mondesi,SS
286.0,Tanner Rainey,RP
287.0,Matt Strahm,SP/RP
288.0,Kenta Maeda,SP/RP
289.0,Shawn Armstrong,RP
290.0,Bryse Wilson,SP
291.0,Kevin McCarthy,RP
292.0,Michael Pineda,SP
293.0,Carlos Estévez,RP
294.0,Mike Moustakas,2B/3B
295.0,Adrian Houser,SP/RP
296.0,Shaun Anderson,SP/RP
297.0,Brett Gardner,OF
298.0,Paul DeJong,SS
299.0,Jairo Díaz,RP
300.0,Dinelson Lamet,SP
301.0,Kelvin Herrera,RP
302.0,Miguel Andújar,Util
303.0,Kyle Schwarber,OF
304.0,J.D. Davis,3B/OF
305.0,Brian Anderson,3B/OF
306.0,Alex Verdugo,OF
307.0,Lourdes Gurriel,2B/OF
308.0,Lance McCullers,SP
309.0,Jake Odorizzi,SP
310.0,Luke Voit,1B
311.0,Ian Anderson,SP
312.0,Starlin Castro,2B/3B
313.0,Joey Gallo,OF
314.0,Jeurys Familia,RP
315.0,Shohei Ohtani,Util
316.0,Sam Hilliard,OF
317.0,Wade Davis,RP
318.0,Max Kepler,OF
319.0,Chris Taylor,2B/SS/OF
320.0,Garrett Hampson,2B/SS/OF
321.0,Anthony DeSclafani,SP
322.0,Didi Gregorius,SS
323.0,Garrett Richards,SP
324.0,Cole Hamels,SP
325.0,Franmil Reyes,OF
326.0,Edwin Encarnación,1B
327.0,Matt Carpenter,3B
328.0,Willy Adames,SS
329.0,Adam Frazier,2B
330.0,Kyle Wright,SP
331.0,Mike Fiers,SP
332.0,A.J. Pollock,OF
333.0,Josh Lindblom,RP
334.0,Jon Gray,SP
335.0,Yoshi Tsutsugo,3B/OF
336.0,Max Fried,SP
337.0,Michael Kopech,SP
338.0,Steven Matz,SP
339.0,Mike Foltynewicz,SP
340.0,Joe Musgrove,SP
341.0,Ji-Man Choi,1B
342.0,Jo Adell,OF
343.0,Freddy Peralta,SP/RP
344.0,Mark Canha,1B/OF
345.0,Brandon Lowe,1B/2B/OF
346.0,Zach Davies,SP
347.0,Lance Lynn,SP
348.0,Tyler Anderson,SP
349.0,Scott Kingery,2B/3B/SS/OF
350.0,Yasmani Grandal,C/1B
351.0,Miguel Sanó,1B/3B
352.0,J.A. Happ,SP
353.0,Brett Anderson,SP
354.0,Luis Urías,2B/SS
355.0,Jordan Montgomery,P
356.0,Kyle Tucker,OF
357.0,German Márquez,SP
358.0,Aníbal Sánchez,SP
359.0,José Martínez,OF
360.0,Erik Swanson,SP/RP
361.0,Harold Ramírez,OF
362.0,Matthew Boyd,SP
363.0,Adam Conley,RP
364.0,Nick Ahmed,SS
365.0,Marcus Stroman,SP
366.0,Nomar Mazara,OF
367.0,Nick Solak,2B/3B
368.0,Matt Shoemaker,SP
369.0,Adam Plutko,SP
370.0,Cal Quantrill,SP/RP
371.0,Luke Weaver,SP
372.0,Miguel Castro,RP
373.0,Michael Chavis,1B/2B
374.0,Domingo Santana,OF
375.0,Dallas Keuchel,SP
376.0,Robbie Ray,SP
377.0,Mallex Smith,OF
378.0,Zach Eflin,SP
379.0,Pablo López,SP
380.0,Andrelton Simmons,SS
381.0,Brandon Nimmo,OF
382.0,Kolten Wong,2B
383.0,Danny Santana,1B/2B/3B/SS/OF
384.0,Garrett Cooper,1B/OF
385.0,John Means,SP
386.0,Khris Davis,Util
387.0,Daniel Vogelbach,1B
388.0,Ryan Braun,OF
389.0,Daniel Murphy,1B
390.0,Andrew Heaney,SP
391.0,Jason Heyward,OF
392.0,Avisaíl García,OF
393.0,Corey Dickerson,OF
394.0,Jeff Samardzija,SP
395.0,Asdrúbal Cabrera,2B/3B
396.0,Freddy Galvis,2B/SS
397.0,Shun Yamaguchi,SP
398.0,Yandy Díaz,1B/3B
399.0,Jordan Yamamoto,SP
400.0,Tyler Mahle,SP
401.0,Victor Reyes,OF
402.0,Elieser Hernandez,SP/RP
403.0,Alex Young,SP
404.0,Nathan Eovaldi,SP/RP
405.0,Mike Leake,SP
406.0,Jakob Junis,SP
407.0,Dylan Cease,SP
408.0,Corbin Burnes,SP/RP
409.0,Manuel Margot,OF
410.0,Renato Núñez,1B/3B
411.0,Jurickson Profar,2B/OF
412.0,Kolby Allard,SP
413.0,Willson Contreras,C
414.0,Vince Velasquez,SP/RP
415.0,Robinson Canó,2B
416.0,Mitch Keller,SP
417.0,José Quintana,SP
418.0,Asher Wojciechowski,SP
419.0,Colin Moran,2B/3B
420.0,Dee Gordon,2B
421.0,Josh Reddick,OF
422.0,Byron Buxton,OF
423.0,Jordan Lyles,SP
424.0,Justin Upton,OF
425.0,Jon Berti,3B/SS/OF
426.0,Wade Miley,SP
427.0,Kevin Pillar,OF
428.0,Alex Cobb,SP
429.0,Brian Dozier,2B
430.0,Dereck Rodríguez,SP/RP
431.0,Joey Lucchesi,SP
432.0,Merrill Kelly,SP
433.0,Nate Lowe,1B
434.0,Kole Calhoun,OF
435.0,Gio Urshela,3B
436.0,Tyler Chatwood,SP/RP
437.0,Hunter Renfroe,OF
438.0,Jacob Waguespack,SP
439.0,Mauricio Dubon,2B/SS
440.0,Dansby Swanson,SS
441.0,Brandon Belt,1B/OF
442.0,Chase Anderson,SP/RP
443.0,Joc Pederson,1B/OF
444.0,Mitch Garver,C
445.0,Rougned Odor,2B
446.0,Dakota Hudson,SP
447.0,Julio Teheran,SP
448.0,Mike Montgomery,SP/RP
449.0,Trevor Williams,SP
450.0,Hanser Alberto,2B/3B
451.0,Patrick Sandoval,SP
452.0,Sandy Alcantara,SP
453.0,Justin Smoak,1B
454.0,Dylan Bundy,SP
455.0,Jake Arrieta,SP
456.0,Adam Wainwright,SP
457.0,Jackie Bradley,OF
458.0,Randal Grichuk,OF
459.0,Mitch Haniger,OF
460.0,Teoscar Hernández,OF
461.0,Aristides Aquino,OF
462.0,Wil Myers,1B/OF
463.0,Anthony Santander,OF
464.0,Niko Goodrum,1B/2B/SS/OF
465.0,Alex Dickerson,OF
466.0,Tyler Alexander,SP/RP
467.0,José Ureña,SP/RP
468.0,Evan Longoria,3B
469.0,Kevin Kiermaier,OF
470.0,Tommy La,2B/3B
471.0,Chris Archer,SP
472.0,Danny Duffy,SP
473.0,Kyle Freeland,SP
474.0,Eric Lauer,SP
475.0,Gary Sánchez,C
476.0,Clint Frazier,OF
477.0,Marco Gonzales,SP
478.0,Trent Grisham,OF
479.0,Marwin Gonzalez,1B/3B/OF
480.0,Jesse Winker,OF
481.0,Spencer Turnbull,SP
482.0,Mitch Moreland,1B
483.0,Rick Porcello,SP
484.0,Jonathan Schoop,2B
485.0,Daniel Norris,SP
486.0,Kyle Seager,3B
487.0,C.J. Cron,1B
488.0,Trent Thornton,SP
489.0,Tanner Roark,SP
490.0,Brad Keller,SP
491.0,Caleb Smith,SP
492.0,Wilson Ramos,C
493.0,Josh Naylor,OF
494.0,Justus Sheffield,SP
495.0,Shed Long,2B/OF
496.0,José Iglesias,SS
497.0,Francisco Mejía,C
498.0,Stephen Piscotty,OF
499.0,Howie Kendrick,1B/2B/3B
500.0,Eric Thames,1B/OF
501.0,Brandon Crawford,SS
502.0,Homer Bailey,SP
503.0,Mike Ford,1B
504.0,J.P. Crawford,SS
505.0,Austin Riley,OF
506.0,Kyle Gibson,SP/RP
507.0,Carson Kelly,C
508.0,Will Smith,C
509.0,Austin Hays,OF
510.0,Dawel Lugo,3B
511.0,Jeff Hoffman,SP
512.0,Albert Pujols,1B
513.0,Carter Kieboom,SS
514.0,Ronald Guzmán,1B
515.0,Jake Bauers,1B/OF
516.0,Rowdy Tellez,1B
517.0,Johnny Cueto,SP
518.0,Nick Madrigal,2B/SS
519.0,Steven Brault,SP/RP
520.0,Miguel Cabrera,1B
521.0,Buster Posey,C
522.0,Kyle Lewis,OF
523.0,Jed Lowrie,2B
524.0,Robbie Grossman,OF
525.0,Todd Frazier,3B
526.0,Dexter Fowler,OF
527.0,Yolmer Sánchez,2B
528.0,Alex Gordon,OF
529.0,Gregory Polanco,OF
530.0,Jordan Zimmermann,SP
531.0,Yadier Molina,C
532.0,Ian Desmond,OF
533.0,Jordan Luplow,OF
534.0,Christian Vázquez,C/1B
535.0,Miguel Rojas,SS
536.0,Kiké Hernández,2B/SS/OF
537.0,David Hess,SP/RP
538.0,DJ Stewart,OF
539.0,Reynaldo López,SP
540.0,Joey Wendle,2B/3B/SS
541.0,Isan Díaz,2B
542.0,Yusei Kikuchi,SP
543.0,Salvador Perez,C
544.0,Antonio Senzatela,SP
545.0,Jon Lester,SP
546.0,Christin Stewart,OF
547.0,Austin Dean,OF
548.0,Jason Kipnis,2B
549.0,Ryan Zimmerman,1B
550.0,Ender Inciarte,OF
551.0,Ian Happ,2B/3B/OF
552.0,Ben Gamel,OF
553.0,Jorge Alfaro,C
554.0,David Bote,2B/3B
555.0,Dylan Carlson,OF
556.0,Jorge Mateo,SS
557.0,Willi Castro,SS
558.0,Omar Narváez,C
559.0,Travis Demeritte,OF
560.0,Tyler Beede,SP
561.0,Travis Shaw,3B
562.0,Jesús Sánchez,OF
563.0,Harrison Bader,OF
564.0,Robinson Chirinos,C
565.0,James McCann,C
566.0,Jesús Aguilar,1B
567.0,Sean Murphy,C
568.0,Mike Tauchman,OF
569.0,José Peraza,2B/SS/OF
570.0,Nico Hoerner,SS
571.0,Ty France,2B/3B
572.0,Brock Holt,1B/2B/OF
573.0,Nicky Lopez,2B/SS
574.0,Raimel Tapia,OF
575.0,Ronny Rodríguez,1B/2B/SS
576.0,Martín Pérez,SP
577.0,Jeimer Candelario,1B/3B
578.0,Danny Jansen,C
579.0,Delino DeShields,OF
580.0,Matt Thaiss,1B/3B
581.0,Tyler O'Neill,OF
582.0,Cole Tucker,SS
583.0,Hunter Pence,OF
584.0,Brett Phillips,OF
585.0,Dominic Smith,1B/OF
586.0,Jay Bruce,1B/OF
587.0,Ryan O'Hearn,1B
588.0,Cameron Maybin,OF
589.0,Brandon Dixon,1B/OF
590.0,Aledmys Díaz,1B/2B/3B
591.0,Jake Fraley,OF
592.0,Lane Thomas,OF
593.0,Eric Sogard,2B/OF
594.0,Johan Camargo,3B/SS/OF
595.0,Kurt Suzuki,C
596.0,Phillip Ervin,OF
597.0,Tucker Barnhart,C
598.0,Willians Astudillo,C/1B/3B
599.0,Adam Haseley,OF
600.0,Wilmer Difo,SS
601.0,Monte Harrison,OF
602.0,Maikel Franco,3B
603.0,Harold Castro,2B/3B/OF
604.0,Travis d'Arnaud,C/1B
605.0,Matt Beaty,1B/3B/OF
606.0,Chad Pinder,2B/3B/OF
607.0,Evan White,1B
608.0,Steven Souza,OF
609.0,Pablo Reyes,OF
610.0,Kevin Cron,1B
611.0,Rio Ruiz,1B/3B
612.0,Brian Goodwin,OF
613.0,Yan Gomes,C
614.0,Bobby Bradley,1B
615.0,Richie Martin,SS
616.0,Matt Adams,1B
617.0,Tom Murphy,C
618.0,Albert Almora,OF
619.0,Stephen Vogt,C/OF
620.0,Ryon Healy,1B/3B
621.0,Orlando Arcia,SS
622.0,Franklin Barreto,2B
623.0,Roberto Pérez,C
624.0,Tony Wolters,C
625.0,Jason Castro,C
626.0,Mike Brosseau,2B/3B/OF
627.0,Ehire Adrianza,1B/2B/3B/SS/OF
628.0,Jake Lamb,1B/3B
629.0,Adam Duvall,OF
630.0,Sam Travis,1B/OF
631.0,Chance Sisco,C
632.0,Greg Garcia,2B/3B
633.0,Brandon Drury,1B/2B/3B/OF
634.0,Austin Allen,C
635.0,Austin Romine,C
636.0,Manny Piña,C
637.0,Zack Collins,C
638.0,Bubba Starling,OF
639.0,Sheldon Neuse,2B
640.0,Jake Marisnick,OF
641.0,Brendan Rodgers,2B/SS
642.0,Tyler Flowers,C
643.0,Bobby Dalbec,3B
644.0,Roman Quinn,OF
645.0,Elias Díaz,C
646.0,Martín Maldonado,C
647.0,Adam Engel,OF
648.0,Grayson Greiner,C
649.0,Kevan Smith,C
650.0,JT Riddle,SS/OF
651.0,Guillermo Heredia,OF
652.0,Daniel Robertson,2B/3B/SS
653.0,Juan Lagares,OF
654.0,Cheslor Cuthbert,1B/3B
655.0,José Osuna,1B/3B/OF
656.0,Pedro Severino,C
657.0,Jose Trevino,C
658.0,Mike Zunino,C
659.0,Josh Phegley,C
660.0,Curt Casali,C
661.0,Austin Hedges,C
662.0,Victor Caratini,C/1B
663.0,Chris Davis,1B
664.0,Charlie Culberson,1B/SS/OF
665.0,Sandy León,C
666.0,Michael Lorenzen,OF
667.0,Brendan McKay,1B
668.0,Denard Span,OF
669.0,Sean Rodríguez,3B/SS/OF
670.0,Matt Joyce,OF
671.0,Gregorio Petit,2B/SS
672.0,Nick Hundley,C
673.0,Travis Snider,OF
674.0,Pablo Sandoval,1B/3B
675.0,Wilkin Castillo,C
676.0,Casey McGehee,1B/3B
677.0,Francisco Cervelli,C
678.0,Matt Wieters,C
679.0,Austin Jackson,OF
680.0,Gordon Beckham,2B/3B/SS
681.0,Everth Cabrera,SS
682.0,Shane Robinson,OF
683.0,Chris Coghlan,3B/OF
684.0,Jose Lobaton,C
685.0,Alex Avila,C
686.0,Josh Thole,C
687.0,Neil Walker,1B/3B
688.0,Chris Johnson,1B/3B
689.0,Adam Moore,C
690.0,Juan Francisco,1B/3B
691.0,Jonathan Lucroy,C
692.0,Brandon Snyder,3B
693.0,Zack Cozart,3B
694.0,Logan Morrison,1B
695.0,Jesús Montero,1B
696.0,Pedro Álvarez,1B/3B
697.0,Jose Tabata,OF
698.0,Dustin Ackley,OF
699.0,Desmond Jennings,OF
700.0,Yonder Alonso,1B
